Entity,Code,Sum of Year,Sum of Average student's performance,Sum of Mathematics score,Sum of Reading score,Sum of Science score,Sum of Number of Internet users,Sum of Happiness score,Sum of Academic freedom index,Sum of Gross enrolment ratio in primary education,Sum of Gross enrolment ratio in secondary education
Denmark,DNK,16085,3994.6636366666667,3540.37839,3964.4699299999997,2982.09512,31982844.9,30.405,7.541,702.4058100000001,1005.32715
Dominican Republic,DOM,6055,1023.4267500000001,991.90983,1050.6756,1027.69482,13724603.5,16.149,2.613,318.36418000000003,236.68214
El Salvador,SLV,2022,360.50470333333334,343.46912,364.90366,373.14133,,6.122,0.291,89.2831,65.22678
Estonia,EST,12082,3120.6845399999997,3100.115779999999,3071.1960400000003,3190.7418,5203043.76,23.291000000000004,5.845000000000001,595.10143,657.48993
Finland,FIN,16085,4250.334426666666,3654.4196500000003,4233.42073,3226.3488500000003,28640012.3,30.375,7.528999999999999,796.43337,1034.99357
France,FRA,16085,3965.4846716666666,3460.37723,3955.50025,2967.5976100000003,261279077,26.494999999999997,7.127000000000001,817.4214900000001,838.76827
Georgia,GEO,6055,1174.7351333333331,1191.44381,1154.8990199999998,1177.86257,4183654.3,13.88,2.6029999999999998,311.31478,322.0912
Germany,DEU,16085,4002.085938333333,3513.9206699999995,3962.45226,3064.7315200000003,404599032,27.543,7.714,827.8457599999999,814.4461500000001
Greece,GRC,16085,3683.5418449999997,3158.33017,3728.64489,2757.46338,32259476,21.686,6.842,696.13732,708.03404
Guatemala,GTM,2022,363.76137666666665,344.1995,374.12186,372.96277,,6.15,0.725,102.99828,45.89262
Hong Kong,HKG,16085,4279.9827866666665,3853.04964,4199.4678300000005,3206.55983,32831915.1,21.719,5.406,825.19717,675.791
Hungary,HUN,16085,3871.496773333333,3378.85387,3845.33568,2944.42618,35431379.9,21.719,5.7170000000000005,807.84569,807.99362
Iceland,ISL,16085,3898.8869950000003,3462.25288,3857.35128,2859.76813,1916975.74,29.880000000000003,7.457000000000001,790.4140199999999,900.37979
